=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 56, 'left_knee_score': 0.060274362564086914, 'right_knee_score': 0.042026057839393616, 'knee_gap': 100.34303909777309, 'left_ankle_score': 0.03664494305849075, 'right_ankle_score': 0.0886240154504776, 'ankle_gap': 166.10740011903573}
{'frame': 57, 'left_knee_score': 0.06408181041479111, 'right_knee_score': 0.048058588057756424, 'knee_gap': 91.9001108940988, 'left_ankle_score': 0.03731510788202286, 'right_ankle_score': 0.08087839186191559, 'ankle_gap': 154.65336905385598}
{'frame': 58, 'left_knee_score': 0.05879443883895874, 'right_knee_score': 0.05358435958623886, 'knee_gap': 87.38148678025695, 'left_ankle_score': 0.03666047751903534, 'right_ankle_score': 0.07829171419143677, 'ankle_gap': 148.68043095452666}
{'frame': 59, 'left_knee_score': 0.06034652143716812, 'right_knee_score': 0.05170641466975212, 'knee_gap': 85.83219730753723, 'left_ankle_score': 0.03516528010368347, 'right_ankle_score': 0.07609383761882782, 'ankle_gap': 142.90016204415346}
{'frame': 60, 'left_knee_score': 0.0600331611931324, 'right_knee_score': 0.05603913962841034, 'knee_gap': 84.80592477813701, 'left_ankle_score': 0.04200802743434906, 'right_ankle_score': 0.07664594799280167, 'ankle_gap': 140.47073482328062}
{'frame': 61, 'left_knee_score': 0.06068519502878189, 'right_knee_score': 0.058895573019981384, 'knee_gap': 84.91517067081303, 'left_ankle_score': 0.05038650333881378, 'right_ankle_score': 0.07814709097146988, 'ankle_gap': 136.7620872497347}
{'frame': 62, 'left_knee_score': 0.06311709433794022, 'right_knee_score': 0.05663106590509415, 'knee_gap': 84.89337972743185, 'left_ankle_score': 0.0497816801071167, 'right_ankle_score': 0.07744386792182922, 'ankle_gap': 138.48517963460935}
{'frame': 63, 'left_knee_score': 0.06445248425006866, 'right_knee_score': 0.055689796805381775, 'knee_gap': 88.36298324691008, 'left_ankle_score': 0.0533866360783577, 'right_ankle_score': 0.07798109948635101, 'ankle_gap': 136.56288496332033}
{'frame': 64, 'left_knee_score': 0.06166643649339676, 'right_knee_score': 0.058818668127059937, 'knee_gap': 87.71897307986164, 'left_ankle_score': 0.05450347065925598, 'right_ankle_score': 0.07682444155216217, 'ankle_gap': 135.78543963085437}
{'frame': 65, 'left_knee_score': 0.06414899230003357, 'right_knee_score': 0.057936787605285645, 'knee_gap': 88.71545665599645, 'left_ankle_score': 0.05782609060406685, 'right_ankle_score': 0.08027616888284683, 'ankle_gap': 137.37625056224798}
{'frame': 66, 'left_knee_score': 0.06622891873121262, 'right_knee_score': 0.059569135308265686, 'knee_gap': 88.76270509360893, 'left_ankle_score': 0.056008853018283844, 'right_ankle_score': 0.07757842540740967, 'ankle_gap': 134.88246202721476}
{'frame': 67, 'left_knee_score': 0.06705112755298615, 'right_knee_score': 0.06040685623884201, 'knee_gap': 89.03269114192501, 'left_ankle_score': 0.055974602699279785, 'right_ankle_score': 0.07810591906309128, 'ankle_gap': 134.9202743417711}
{'frame': 68, 'left_knee_score': 0.06431881338357925, 'right_knee_score': 0.058614932000637054, 'knee_gap': 89.1627532419511, 'left_ankle_score': 0.05263920873403549, 'right_ankle_score': 0.07556743174791336, 'ankle_gap': 136.5676419256078}
{'frame': 69, 'left_knee_score': 0.06433211266994476, 'right_knee_score': 0.05806241184473038, 'knee_gap': 89.54084068157943, 'left_ankle_score': 0.05450347065925598, 'right_ankle_score': 0.07686339318752289, 'ankle_gap': 137.8176841360011}
{'frame': 70, 'left_knee_score': 0.06463965028524399, 'right_knee_score': 0.05957341194152832, 'knee_gap': 90.17565590054427, 'left_ankle_score': 0.05412283539772034, 'right_ankle_score': 0.07688255608081818, 'ankle_gap': 137.62714753856147}
{'frame': 71, 'left_knee_score': 0.06465884298086166, 'right_knee_score': 0.0601857453584671, 'knee_gap': 89.99025206174996, 'left_ankle_score': 0.053400859236717224, 'right_ankle_score': 0.07650652527809143, 'ankle_gap': 137.49672186644273}
{'frame': 72, 'left_knee_score': 0.06430356949567795, 'right_knee_score': 0.06071057170629501, 'knee_gap': 89.67459016154443, 'left_ankle_score': 0.054027676582336426, 'right_ankle_score': 0.0781206265091896, 'ankle_gap': 137.85410141702923}
{'frame': 73, 'left_knee_score': 0.06561709195375443, 'right_knee_score': 0.060304779559373856, 'knee_gap': 89.4608965191733, 'left_ankle_score': 0.05338309705257416, 'right_ankle_score': 0.07753041386604309, 'ankle_gap': 137.59386985676906}
{'frame': 74, 'left_knee_score': 0.06669489294290543, 'right_knee_score': 0.06108441576361656, 'knee_gap': 89.14461189755365, 'left_ankle_score': 0.054025955498218536, 'right_ankle_score': 0.07790559530258179, 'ankle_gap': 137.51811061640618}
{'frame': 75, 'left_knee_score': 0.06524122506380081, 'right_knee_score': 0.05905213952064514, 'knee_gap': 88.84226145492222, 'left_ankle_score': 0.05413512513041496, 'right_ankle_score': 0.0776887834072113, 'ankle_gap': 136.97030747948955}
{'frame': 76, 'left_knee_score': 0.06442952156066895, 'right_knee_score': 0.0585247203707695, 'knee_gap': 89.2186030762229, 'left_ankle_score': 0.053845204412937164, 'right_ankle_score': 0.07731738686561584, 'ankle_gap': 137.61488254115446}
{'frame': 77, 'left_knee_score': 0.06367305666208267, 'right_knee_score': 0.057986509054899216, 'knee_gap': 88.86643968523984, 'left_ankle_score': 0.056336160749197006, 'right_ankle_score': 0.07892771065235138, 'ankle_gap': 139.85925324518848}
